feature,importance
Horizontal_Distance_To_Roadways,21991
Horizontal_Distance_To_Fire_Points,21672
Id,21577
Elevation,19945
Vertical_Distance_To_Hydrology,13678
Horizontal_Distance_To_Hydrology,12752
Aspect,11450
Hillshade_Noon,10610
Hillshade_3pm,10044
Hillshade_9am,9711
Slope,7519
Soil_Type10,1214
Wilderness_Area3,1058
Wilderness_Area1,866
Soil_Type32,836
Soil_Type33,751
Soil_Type2,712
Soil_Type4,693
Soil_Type29,656
Soil_Type17,599
Soil_Type11,575
Soil_Type31,530
Wilderness_Area4,485
Soil_Type23,482
Soil_Type6,475
Soil_Type22,440
Soil_Type13,434
Soil_Type3,416
Wilderness_Area2,402
Soil_Type39,392
Soil_Type24,385
Soil_Type16,369
Soil_Type38,348
Soil_Type30,343
Soil_Type5,306
Soil_Type1,293
Soil_Type20,277
Soil_Type12,240
Soil_Type35,171
Soil_Type40,171
Soil_Type19,128
Soil_Type14,126
Soil_Type34,108
Soil_Type26,94
Soil_Type37,40
Soil_Type18,36
Soil_Type7,0
Soil_Type8,0
Soil_Type21,0
Soil_Type9,0
Soil_Type15,0
Soil_Type27,0
Soil_Type25,0
Soil_Type28,0
Soil_Type36,0
